name,requirements,responsibilities,experience,employment,salary_from,salary_to,currency,gross
Data инженер DWH (Hadoop),"Опыт работы в Банках или страховых компаниях. Представление о BigData: Hive, Spark. Навыки работы с оркестраторами: oozie, Airflow. ",Заниматься разработкой схем данных конечных витрин в Hive по утвержденному проекту. Делать маппинг атрибутов источников на приёмник. Заниматься разработкой ETL...,От 1 года до 3 лет,Полная занятость,,,,
Data Engineer / Data analyst,"Опыт работы <highlighttext>data</highlighttext> <highlighttext>engineer</highlighttext> или разработчиком DWH/BI от 2 лет. Знание Python. Глубокое знание SQL, умение писать и оптимизировать...","Проектирование витрин данных. Разработка ELT / ETL процедур. Дашборды в superset. Ad Hoc аналитика. Выявления трендов, закономерностей и аномалий. ",От 1 года до 3 лет,Полная занятость,,,,
Data Engineer (Green Plum),"Опыт работы в разработке БД от 5 лет. Уверенное владение SQL (запросы, хранимые процедуры и функции). Оптимизация запросов. ",Проектирование и разработка ETL-трактов поставки данных. Расчет финансовых метрик и показателей. Построение витрин данных. Интеграция со смежными системами. ,От 3 до 6 лет,Полная занятость,,,,
Data Engineer,App для взрослых (iOS + Android). Опыт работы <highlighttext>data</highlighttext>-<highlighttext>инженером</highlighttext> или аналитиком данных от 3-х лет. Глубокие знания статистики. ,"Доработка инфраструктуры: пайплайнов данных, автоматизации сбора и обработки данных. Разработка новых дашбордов и аналитических инструментов, их поддержка и масштабирование. ",От 3 до 6 лет,Полная занятость,,,,
Data Engineer (senior/middle),"Уверенное владение Python и SQL. Опыт работы с Spark, Hadoop, Kafka, Greenplum, Clickhouse, S3 (Ceph, Minio). Опыт написание DAG...",Участвовать в создании DWH в одном из самых быстро развивающихся подразделений Wildberries. Писать ETL для обработки большого количества событий. ,От 3 до 6 лет,Полная занятость,,,,
Data Engineer,Опыт работы в роли <highlighttext>Data</highlighttext> <highlighttext>Engineer</highlighttext> от 4-х лет. Мотивация учиться и развиваться в области рекомендательных систем. ,Разработка продакшен-пайплайнов обработки данных. Продуктизация прототипов команды Data Science. Рerformance оптимизации кода по обработке больших массивов данных или онлайн...,От 3 до 6 лет,Полная занятость,,,,
Data Engineer,"Понимание концепции построения хранилищ данных (<highlighttext>DWH</highlighttext>). Опыт <highlighttext>разработки</highlighttext> пайплайнов в Airflow, NiFi. Уверенные знания Python, SQL, Linux. Опыт написания Cron...","Разработка развитие и сопровождение хранилищ данных. Проектирование и разработка надёжных пайплайнов (ETL процессов), как в NiFi, так и в Airflow...",От 1 года до 3 лет,Полная занятость,,,,
Junior/ Middle Data Engineer,"Знание баз данных NoSQL. Уверенное знание Python. Опыт работы с <highlighttext>Apache</highlighttext> <highlighttext>Spark</highlighttext>, Hadoop, Hive или аналогичными сервисами в облаке (например...","Подробный онбординг: знакомство с командой, процессами и правилами, экскурсия по офису, welcome card.",От 1 года до 3 лет,Полная занятость,,,,
Junior/ Middle Data Engineer,"Знание баз данных NoSQL. Уверенное знание Python. Опыт работы с <highlighttext>Apache</highlighttext> <highlighttext>Spark</highlighttext>, Hadoop, Hive или аналогичными сервисами в облаке (например...","Подробный онбординг: знакомство с командой, процессами и правилами, экскурсия по офису, welcome card.",От 1 года до 3 лет,Полная занятость,,,,
Data Engineer,Опыт работы от 2-х лет в области разработки pipeline процессинга на платформах больших данных. Понимание принципов работы кластерных решений...,"Проектирование процессов хранения и процессинга данных (batch, stream). Проектирование архитектуры реляционных и noSQL БД. Разработка ELT для различных источников (Kafka...",От 3 до 6 лет,Полная занятость,,,,
Data Engineer,"Опыт разработки API для предоставления данных из <highlighttext>Data</highlighttext> <highlighttext>Platform</highlighttext> (FastAPI, GraphQL). Опыт работы с базами данных (PostgreSQL, ClickHouse, Redis). ",Проектирование и разработка масштабируемых фреймворков для ETL/ELT процессов. Создание отказоустойчивых решений для загрузки и обработки данных из разнородных источников. ,От 3 до 6 лет,Полная занятость,,,,
Data Engineer,"Опыт разработки API для предоставления данных из <highlighttext>Data</highlighttext> <highlighttext>Platform</highlighttext> (FastAPI, GraphQL). Опыт работы с базами данных (PostgreSQL, ClickHouse, Redis). ",Проектирование и разработка масштабируемых фреймворков для ETL/ELT процессов. Создание отказоустойчивых решений для загрузки и обработки данных из разнородных источников. ,От 3 до 6 лет,Полная занятость,,,,
